"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Goodman, Hunter","696100","NA","2",,"92","16","0","0","0","10","0","66","0","76","91.6",,,,,,,"88.6",,"88.7","88.7"
"Canha, Mark","592192","NA","3","First Baseman","230","154","0","0","0","54","0","22","0","76","87.9","74.8",,,,"83.5",,,,"85.5","85.5"
"Joe, Connor","656582","NA","3","First Baseman","374","247","0","0","0","18","0","109","0","127","93.3","75.6",,,,,,"89.7",,"89.8","89.8"
"Sheets, Gavin","657757","NA","3","First Baseman","297","175","0","0","0","0","0","122","0","122","91.8","80.1",,,,,,"88.6",,"88.6","88.6"
"Nevin, Tyler","663527","NA","3","First Baseman","203","90","0","38","0","30","0","45","38","75","93.7",,,,,,,,,"87.3","87.3"
"Merrifield, Whit","593160","NA","4","Second Baseman","305","0","221","29","0","55","0","0","250","55","91.6",,"80.2",,,"83.5",,,"80.4","83.5","83.5"
"Frazier, Adam","624428","NA","4","Second Baseman","221","0","147","8","0","11","0","55","155","66","93.7",,"76.4",,,,,"85.7","77.6","86","86"
"McNeil, Jeff","643446","NA","4","Second Baseman","503","0","437","0","0","27","0","39","437","66","90.6",,"78.7",,,,,,"78.7","86.8","86.8"
"Palacios, Richie","680700","NA","4","Second Baseman","258","0","139","8","0","41","0","70","147","111","91.3",,"75.3",,,,,"87.7","75","86.3","86.3"
"Vierling, Matt","663837","NA","5","Third Baseman","344","2","0","106","0","19","140","77","106","236","96.2",,,"82.7",,,"84.8","85.5","82.7","85","85"
"Vargas, Miguel","678246","NA","5","Third Baseman","162","0","0","94","0","68","0","0","94","68","93.8",,,"87.1",,"90.4",,,"87.1","90.4","90.4"
"Barger, Addison","680718","NA","5","Third Baseman","171","0","0","66","0","24","0","81","66","105","100.6",,,,,,,"96.6",,"96.3","96.3"
"Betts, Mookie","605141","NA","6","Shortstop","415","0","54","0","277","0","0","84","331","84","94",,,,"78.3",,,"85.5","78","85.5","85.5"
"Castro, Willi","650489","NA","6","Shortstop","589","0","154","34","235","85","81","0","423","166","95.7",,"84.6",,"86.7","88","90.5",,"86.4","89.7","89.7"
"Cruz, Oneil","665833","NA","6","Shortstop","420","0","0","0","347","0","73","0","347","73","103.3",,,,"95.3",,"99.1",,"95.3","99.1","99.1"
"Edman, Tommy","669242","NA","6","Shortstop","137","0","1","0","67","0","69","0","68","69","88.8",,,,,,"82.4",,,"82.4","82.4"
"Schneemann, Daniel","682177","NA","6","Shortstop","200","0","21","25","85","11","31","27","131","69","95.3",,,,"84.1",,,,"83.9","92.4","92.4"
"Rosario, Eddie","592696","NA","7","Left Fielder","185","0","0","0","0","90","29","66","0","185","91.8",,,,,"83.7",,"87.5",,"85.3","85.3"
"Yelich, Christian","592885","NA","7","Left Fielder","108","0","0","0","0","108","0","0","0","108","86.5",,,,,"83.5",,,,"83.5","83.5"
"Profar, Jurickson","595777","NA","7","Left Fielder","237","9","0","0","0","228","0","0","0","228","93.9",,,,,"87.2",,,,"87.2","87.2"
"Hernández, Teoscar","606192","NA","7","Left Fielder","354","0","0","0","0","235","0","119","0","354","93.1",,,,,"86.6",,"88.9",,"87.5","87.5"
"Nimmo, Brandon","607043","NA","7","Left Fielder","359","0","0","0","0","306","53","0","0","359","90.9",,,,,"86.8","86.1",,,"86.8","86.8"
"Winker, Jesse","608385","NA","7","Left Fielder","208","0","0","0","0","186","0","22","0","208","93.1",,,,,"87.2",,,,"86.8","86.8"
"Refsnyder, Rob","608701","NA","7","Left Fielder","169","0","0","0","0","107","0","62","0","169","96.8",,,,,"87.9",,"92.2",,"89.9","89.9"
"Andujar, Miguel","609280","NA","7","Left Fielder","213","0","0","0","0","213","0","0","0","213","98.7",,,,,"93.2",,,,"93.2","93.2"
"Taylor, Chris","621035","NA","7","Left Fielder","193","0","60","30","0","96","7","0","90","103","93",,,,,"88.7",,,"81.2","88.4","88.4"
"Ward, Taylor","621493","NA","7","Left Fielder","475","0","0","0","0","475","0","0","0","475","93.1",,,,,"87.6",,,,"87.6","87.6"
"Conforto, Michael","624424","NA","7","Left Fielder","254","0","0","0","0","254","0","0","0","254","94.3",,,,,"89.5",,,,"89.5","89.5"
"Gordon, Nick","624503","NA","7","Left Fielder","192","0","9","0","0","157","26","0","9","183","90.8",,,,,"85.9",,,,"85.4","85.4"
"O'Neill, Tyler","641933","NA","7","Left Fielder","261","0","0","0","0","164","0","97","0","261","94.7",,,,,"88.1",,"91.3",,"89.4","89.4"
"Benintendi, Andrew","643217","NA","7","Left Fielder","352","0","0","0","0","352","0","0","0","352","96.9",,,,,"84.5",,,,"84.5","84.5"
"Dubón, Mauricio","643289","NA","7","Left Fielder","357","45","59","25","20","119","66","23","104","208","99.3",,,,,"88","89.3",,"87.7","88.9","88.9"
"De La Cruz, Bryan","650559","NA","7","Left Fielder","312","0","0","0","0","163","0","149","0","312","93.3",,,,,"89.9",,"90.6",,"90.3","90.3"
"Hilliard, Sam","656541","NA","7","Left Fielder","133","0","0","0","0","54","51","28","0","133","96.1",,,,,"88.9","91.3",,,"91","91"
"Smith, Pavin","656976","NA","7","Left Fielder","109","38","0","0","0","32","0","39","0","71","89.7",,,,,,,,,"86.7","86.7"
"Verdugo, Alex","657077","NA","7","Left Fielder","385","0","0","0","0","359","8","18","0","385","98.2",,,,,"91.8",,,,"92.1","92.1"
"Larnach, Trevor","663616","NA","7","Left Fielder","130","0","0","0","0","110","0","20","0","130","88.5",,,,,"83.4",,,,"83.1","83.1"
"Cameron, Daz","663662","NA","7","Left Fielder","120","0","0","0","0","63","26","31","0","120","92.8",,,,,"88",,,,"88.3","88.3"
"Happ, Ian","664023","NA","7","Left Fielder","491","0","0","0","0","491","0","0","0","491","93.4",,,,,"84.7",,,,"84.7","84.7"
"Lukes, Nathan","664770","NA","7","Left Fielder","64","0","0","0","0","31","8","25","0","64","91.7",,,,,,,,,"90","90"
"Brown, Seth","664913","NA","7","Left Fielder","369","137","0","0","0","149","0","83","0","232","88.2","66.3",,,,"78.7",,"79.3",,"78.9","78.9"
"Jones, Nolan","666134","NA","7","Left Fielder","203","0","0","0","0","203","0","0","0","203","101.3",,,,,"97.7",,,,"97.7","97.7"
"Kirilloff, Alex","666135","NA","7","Left Fielder","91","30","0","0","0","53","0","8","0","61","86.3",,,,,"83.9",,,,"83.7","83.7"
"Carlson, Dylan","666185","NA","7","Left Fielder","224","0","0","0","0","95","60","69","0","224","92",,,,,"86.7","85.9","87.4",,"86.7","86.7"
"Gurriel Jr., Lourdes","666971","NA","7","Left Fielder","362","1","0","0","0","361","0","0","0","361","95.3",,,,,"86.7",,,,"86.7","86.7"
"Julks, Corey","667452","NA","7","Left Fielder","129","0","0","0","0","60","5","64","0","129","98.6",,,,,"85.5",,"87.5",,"86.7","86.7"
"Arozarena, Randy","668227","NA","7","Left Fielder","434","0","0","0","0","412","22","0","0","434","92.6",,,,,"81.9",,,,"82","82"
"Steer, Spencer","668715","NA","7","Left Fielder","432","166","7","0","3","255","0","1","10","256","94.8","77.4",,,,"88.5",,,,"88.5","88.5"
"Baddoo, Akil","668731","NA","7","Left Fielder","52","0","0","0","0","46","1","5","0","52","90.2",,,,,,,,,"85.5","85.5"
"Reynolds, Bryan","668804","NA","7","Left Fielder","353","0","0","0","0","291","0","62","0","353","100.4",,,,,"87.5",,"89.7",,"88.2","88.2"
"Melendez, MJ","669004","NA","7","Left Fielder","317","2","0","0","0","312","0","3","0","315","97.4",,,,,"91.5",,,,"91.5","91.5"
"Marsh, Brandon","669016","NA","7","Left Fielder","329","0","0","0","0","210","110","9","0","329","99.3",,,,,"88.2","88.1",,,"88.1","88.1"
"Stowers, Kyle","669065","NA","7","Left Fielder","168","0","0","0","0","111","36","21","0","168","97.2",,,,,"87.7",,,,"87.8","87.8"
"Hays, Austin","669720","NA","7","Left Fielder","182","0","0","0","0","181","0","1","0","182","97.1",,,,,"90.1",,,,"90.1","90.1"
"Raley, Luke","670042","NA","7","Left Fielder","381","160","0","0","0","144","10","67","0","221","97.2","64",,,,"87.2",,"88.9",,"87.8","87.8"
"Kelenic, Jarred","672284","NA","7","Left Fielder","339","0","0","0","0","197","142","0","0","339","95",,,,,"89.7","88.3",,,"89.2","89.2"
"McCormick, Chas","676801","NA","7","Left Fielder","195","0","0","0","0","82","40","73","0","195","91.2",,,,,"83.6",,"86.1",,"85.1","85.1"
"Schneider, Davis","676914","NA","7","Left Fielder","378","0","163","0","0","215","0","0","163","215","89.9",,"74.2",,,"84.3",,,"74.2","84.3","84.3"
"Kjerstad, Heston","677008","NA","7","Left Fielder","54","0","0","0","0","32","0","22","0","54","96.1",,,,,,,,,"91.4","91.4"
"Blanco, Dairon","680118","NA","7","Left Fielder","108","0","0","0","0","71","21","16","0","108","85.9",,,,,"78.9",,,,"80.1","80.1"
"Kwan, Steven","680757","NA","7","Left Fielder","295","0","0","0","0","295","0","0","0","295","92.9",,,,,"86.3",,,,"86.3","86.3"
"Donovan, Brendan","680977","NA","7","Left Fielder","483","0","221","16","0","246","0","0","237","246","91.6",,"77.6",,,"85.3",,,"78.7","85.3","85.3"
"Cowser, Colton","681297","NA","7","Left Fielder","378","0","0","0","0","251","100","27","0","378","104.3",,,,,"91.1","95",,,"93.1","93.1"
"Greene, Riley","682985","NA","7","Left Fielder","280","0","0","0","0","216","60","4","0","280","92.1",,,,,"84.8","85.9",,,"85.3","85.3"
"Beck, Jordan","687597","NA","7","Left Fielder","141","0","0","0","0","93","9","39","0","141","92.1",,,,,"88.2",,,,"88.4","88.4"
"Chourio, Jackson","694192","NA","7","Left Fielder","418","0","0","0","0","238","0","180","0","418","96.3",,,,,"84.3",,"85.2",,"84.7","84.7"
"Loperfido, Joey","694388","NA","7","Left Fielder","201","2","0","0","0","108","54","37","0","199","89.1",,,,,"83.9","83.7",,,"84.6","84.6"
"Carter, Evan","694497","NA","7","Left Fielder","99","0","0","0","0","80","5","14","0","99","88",,,,,"84.4",,,,"83.8","83.8"
"Langford, Wyatt","694671","NA","7","Left Fielder","338","0","0","0","0","305","33","0","0","338","91.8",,,,,"87",,,,"87.1","87.1"
"Wood, James","695578","NA","7","Left Fielder","247","0","0","0","0","247","0","0","0","247","90.8",,,,,"83.3",,,,"83.3","83.3"
"Trout, Mike","545361","NA","8","Center Fielder","75","0","0","0","0","0","75","0","0","75","95.4",,,,,,"84.2",,,"84.2","84.2"
"Taylor, Michael A.","572191","NA","8","Center Fielder","255","0","0","0","0","8","247","0","0","255","101.3",,,,,,"90.1",,,"89.9","89.9"
"Judge, Aaron","592450","NA","8","Center Fielder","328","0","0","0","0","12","294","22","0","328","95.9",,,,,,"87.7",,,"88.1","88.1"
"Kiermaier, Kevin","595281","NA","8","Center Fielder","288","0","0","0","0","0","288","0","0","288","99.1",,,,,,"94.6",,,"94.6","94.6"
"Pillar, Kevin","607680","NA","8","Center Fielder","208","0","0","0","0","47","126","35","0","208","91.5",,,,,,"87.3",,,"86.8","86.8"
"Taylor, Tyrone","621438","NA","8","Center Fielder","243","0","0","0","0","43","98","102","0","243","97.8",,,,,,"89.7","91.5",,"90.8","90.8"
"Buxton, Byron","621439","NA","8","Center Fielder","275","0","0","0","0","0","275","0","0","275","96.3",,,,,,"90.3",,,"90.3","90.3"
"Azócar, José","640492","NA","8","Center Fielder","57","0","0","0","0","24","30","3","0","57","89.2",,,,,,,,,"87","87"
"Bellinger, Cody","641355","NA","8","Center Fielder","317","64","0","0","0","0","151","102","0","253","98.2",,,,,,"85.9","89.6",,"87.9","87.9"
"Hampson, Garrett","641658","NA","8","Center Fielder","226","10","55","1","6","36","109","9","62","154","89.1",,,,,,"82.6",,,"83.9","83.9"
"Siri, Jose","642350","NA","8","Center Fielder","350","1","0","0","0","0","349","0","0","349","101.2",,,,,,"93.5",,,"93.5","93.5"
"Robles, Victor","645302","NA","8","Center Fielder","208","0","0","0","0","28","102","78","0","208","98.3",,,,,,"92.2","92",,"92.2","92.2"
"Fairchild, Stuart","656413","NA","8","Center Fielder","195","0","0","0","0","12","143","40","0","195","94.7",,,,,,"84.3",,,"85.3","85.3"
"Hill, Derek","656537","NA","8","Center Fielder","125","0","0","0","0","39","72","14","0","125","94.4",,,,,,"89.2",,,"88.6","88.6"
"Mullins, Cedric","656775","NA","8","Center Fielder","361","0","0","0","0","0","361","0","0","361","90",,,,,,"84.2",,,"84.2","84.2"
"Varsho, Daulton","662139","NA","8","Center Fielder","422","0","0","0","0","152","266","4","0","422","94.2",,,,,"84.2","83.4",,,"83.7","83.7"
"Perkins, Blake","663368","NA","8","Center Fielder","372","0","0","0","0","0","372","0","0","372","98.6",,,,,,"90.2",,,"90.2","90.2"
"Grisham, Trent","663757","NA","8","Center Fielder","147","0","0","0","0","0","147","0","0","147","89.4",,,,,,"84.8",,,"84.8","84.8"
"Bader, Harrison","664056","NA","8","Center Fielder","316","0","0","0","0","0","316","0","0","316","98.3",,,,,,"90.1",,,"90.1","90.1"
"Isbel, Kyle","664728","NA","8","Center Fielder","357","0","0","0","0","0","357","0","0","357","91.6",,,,,,"84.1",,,"84.1","84.1"
"McCarthy, Jake","664983","NA","8","Center Fielder","369","0","0","0","0","64","186","119","0","369","88.2",,,,,"80.5","78.5","80.7",,"79.7","79.7"
"Pache, Cristian","665506","NA","8","Center Fielder","163","0","0","0","0","37","125","1","0","163","97.1",,,,,,"91.5",,,"91.4","91.4"
"Taveras, Leody","665750","NA","8","Center Fielder","517","0","0","0","0","0","517","0","0","517","98.8",,,,,,"91.3",,,"91.3","91.3"
"Chisholm Jr., Jazz","665862","NA","8","Center Fielder","384","0","8","110","0","0","266","0","118","266","93.2",,,"85.3",,,"86.8",,"85.3","86.8","86.8"
"Moniak, Mickey","666160","NA","8","Center Fielder","334","0","0","0","0","8","284","42","0","334","97.8",,,,,,"83.5",,,"83.7","83.7"
"Bleday, JJ","668709","NA","8","Center Fielder","483","0","0","0","0","0","483","0","0","483","95.3",,,,,,"89.3",,,"89.3","89.3"
"Martin, Austin","668885","NA","8","Center Fielder","242","0","55","0","0","62","125","0","55","187","95.3",,,,,"87","86.6",,,"87","87"
"Mitchell, Garrett","669003","NA","8","Center Fielder","164","0","0","0","0","0","115","49","0","164","94.3",,,,,,"90.5",,,"89.7","89.7"
"Suwinski, Jack","669261","NA","8","Center Fielder","249","0","0","0","0","78","153","18","0","249","93.1",,,,,"86.8","86.6",,,"86.7","86.7"
"Friedl, TJ","670770","NA","8","Center Fielder","211","0","0","0","0","0","211","0","0","211","93.2",,,,,,"85.4",,,"85.4","85.4"
"Ramos, Heliot","671218","NA","8","Center Fielder","283","0","0","0","0","117","155","11","0","283","92.3",,,,,"86.3","86.8",,,"86.5","86.5"
"Freeman, Tyler","671289","NA","8","Center Fielder","220","0","13","7","13","0","187","0","33","187","95.9",,,,,,"91.4",,,"91.4","91.4"
"Harris II, Michael","671739","NA","8","Center Fielder","325","0","0","0","0","0","325","0","0","325","95.7",,,,,,"88.4",,,"88.4","88.4"
"Siani, Michael","672279","NA","8","Center Fielder","338","0","0","0","0","9","324","5","0","338","96.9",,,,,,"87",,,"86.9","86.9"
"Robert Jr., Luis","673357","NA","8","Center Fielder","325","0","0","0","0","0","325","0","0","325","92.8",,,,,,"85.4",,,"85.4","85.4"
"Meyers, Jake","676694","NA","8","Center Fielder","358","0","0","0","0","0","358","0","0","358","97",,,,,,"84.7",,,"84.7","84.7"
"Rodríguez, Julio","677594","NA","8","Center Fielder","364","0","0","0","0","0","364","0","0","364","97.9",,,,,,"91",,,"91","91"
"Thomas, Alek","677950","NA","8","Center Fielder","104","0","0","0","0","0","104","0","0","104","89.5",,,,,,"85.5",,,"85.5","85.5"
"Meadows, Parker","678009","NA","8","Center Fielder","205","0","0","0","0","0","205","0","0","205","93.9",,,,,,"87.5",,,"87.5","87.5"
"Bae, Ji Hwan","678225","NA","8","Center Fielder","88","0","1","0","0","0","57","30","1","87","92.6",,,,,,"84.3",,,"87.2","87.2"
"Rafaela, Ceddanne","678882","NA","8","Center Fielder","649","0","22","1","349","0","276","1","372","277","98.3",,,,"86.4",,"92.1",,"86.3","92.1","92.1"
"Rojas, Johan","679032","NA","8","Center Fielder","292","0","0","0","0","0","292","0","0","292","101.2",,,,,,"91.4",,,"91.4","91.4"
"Duran, Jarren","680776","NA","8","Center Fielder","527","0","0","0","0","210","317","0","0","527","93.6",,,,,"88.1","88.3",,,"88.2","88.2"
"Outman, James","681546","NA","8","Center Fielder","109","0","0","0","0","0","109","0","0","109","93.7",,,,,,"89.2",,,"89.2","89.2"
"Pages, Andy","681624","NA","8","Center Fielder","353","0","0","0","0","17","250","86","0","353","102.1",,,,,,"92.8","92.3",,"92.6","92.6"
"Matos, Luis","682641","NA","8","Center Fielder","107","0","0","0","0","15","49","43","0","107","94.3",,,,,,,,,"90.5","90.5"
"Martínez, Angel","682657","NA","8","Center Fielder","71","0","3","8","0","26","29","5","11","60","92.1",,,,,,,,,"86.7","86.7"
"Doyle, Brenton","686668","NA","8","Center Fielder","543","0","0","0","0","0","543","0","0","543","102.6",,,,,,"97.4",,,"97.4","97.4"
"Scott II, Victor","687363","NA","8","Center Fielder","129","0","0","0","0","1","126","2","0","129","90.8",,,,,,"85.1",,,"85.1","85.1"
"McCray, Grant","687529","NA","8","Center Fielder","106","0","0","0","0","0","106","0","0","106","99.8",,,,,,"97.1",,,"97.1","97.1"
"Crow-Armstrong, Pete","691718","NA","8","Center Fielder","414","0","0","0","0","0","414","0","0","414","100.6",,,,,,"93",,,"93","93"
"Young, Jacob","696285","NA","8","Center Fielder","531","0","0","0","0","0","531","0","0","531","94.3",,,,,,"86.2",,,"86.2","86.2"
"Merrill, Jackson","701538","NA","8","Center Fielder","390","0","0","0","0","0","390","0","0","390","99.2",,,,,,"90.8",,,"90.8","90.8"
"Lee, Jung Hoo","808982","NA","8","Center Fielder","110","0","0","0","0","0","110","0","0","110","99.7",,,,,,"94.2",,,"94.2","94.2"
"Peralta, David","444482","NA","9","Right Fielder","114","0","0","0","0","12","0","102","0","114","87.7",,,,,,,"83.5",,"83.2","83.2"
"Pham, Tommy","502054","NA","9","Right Fielder","258","0","0","0","0","81","66","111","0","258","94",,,,,"86.8","86.7","89.5",,"88.3","88.3"
"Marte, Starling","516782","NA","9","Right Fielder","226","0","0","0","0","0","0","226","0","226","96.8",,,,,,,"91",,"91","91"
"Heyward, Jason","518792","NA","9","Right Fielder","165","0","0","0","0","16","1","148","0","165","95.6",,,,,,,"89.9",,"89.9","89.9"
"Springer, George","543807","NA","9","Right Fielder","343","0","0","0","0","0","2","341","0","343","92.6",,,,,,,"86.8",,"86.8","86.8"
"Grichuk, Randal","545341","NA","9","Right Fielder","135","0","0","0","0","37","0","98","0","135","92.1",,,,,,,"86.4",,"86.3","86.3"
"Haniger, Mitch","571745","NA","9","Right Fielder","284","0","0","0","0","0","0","284","0","284","96",,,,,,,"86.2",,"86.2","86.2"
"Yastrzemski, Mike","573262","NA","9","Right Fielder","283","0","0","0","0","0","23","260","0","283","91.1",,,,,,,"87.4",,"86.9","86.9"
"Castellanos, Nick","592206","NA","9","Right Fielder","360","0","0","0","0","0","0","360","0","360","87.5",,,,,,,"82.3",,"82.3","82.3"
"Gamel, Ben","592325","NA","9","Right Fielder","70","0","0","0","0","14","0","56","0","70","90.7",,,,,,,"88.4",,"87.7","87.7"
"Renfroe, Hunter","592669","NA","9","Right Fielder","324","0","0","0","0","0","0","324","0","324","95.4",,,,,,,"91.1",,"91.1","91.1"
"Duvall, Adam","594807","NA","9","Right Fielder","225","0","0","0","0","98","0","127","0","225","92.1",,,,,"85.5",,"88.3",,"87.2","87.2"
"Cave, Jake","595909","NA","9","Right Fielder","294","0","0","0","0","83","17","194","0","294","92",,,,,"84.6",,"87.2",,"86.4","86.4"
"Slater, Austin","596103","NA","9","Right Fielder","128","0","0","0","0","44","20","64","0","128","96.5",,,,,,,"87.1",,"86.9","86.9"
"Kepler, Max","596146","NA","9","Right Fielder","280","0","0","0","0","0","0","280","0","280","93",,,,,,,"87.2",,"87.2","87.2"
"Jankowski, Travis","608671","NA","9","Right Fielder","104","0","0","0","0","28","16","60","0","104","91.9",,,,,,,"86.6",,"85.8","85.8"
"Stewart, DJ","621466","NA","9","Right Fielder","68","2","0","0","0","17","0","49","0","66","95.7",,,,,,,,,"87.6","87.6"
"Margot, Manuel","622534","NA","9","Right Fielder","249","0","0","0","0","93","56","100","0","249","87.1",,,,,"75.5","76.8","81.8",,"79","79"
"Santander, Anthony","623993","NA","9","Right Fielder","317","0","0","0","0","0","0","317","0","317","99.7",,,,,,,"87.1",,"87.1","87.1"
"Fraley, Jake","641584","NA","9","Right Fielder","220","0","0","0","0","10","0","210","0","220","92.9",,,,,,,"89.6",,"89.5","89.5"
"Rosario, Amed","642708","NA","9","Right Fielder","210","0","82","23","40","0","0","65","145","65","90.7",,"80",,,,,"87.6","83.1","87.6","87.6"
"Tauchman, Mike","643565","NA","9","Right Fielder","160","0","0","0","0","35","22","103","0","160","89.8",,,,,,,"84.3",,"84.1","84.1"
"Bouchard, Sean","656248","NA","9","Right Fielder","105","0","0","0","0","46","0","59","0","105","90",,,,,,,"86.1",,"85.9","85.9"
"Thomas, Lane","657041","NA","9","Right Fielder","369","0","0","0","0","0","117","252","0","369","103",,,,,,"92.5","92.2",,"92.4","92.4"
"Laureano, Ramón","657656","NA","9","Right Fielder","201","0","0","0","0","57","32","112","0","201","94.3",,,,,"89.4",,"90.2",,"90.7","90.7"
"Olivares, Edward","658668","NA","9","Right Fielder","132","0","0","0","0","1","0","131","0","132","96.1",,,,,,,"91.5",,"91.5","91.5"
"Acuña Jr., Ronald","660670","NA","9","Right Fielder","143","0","0","0","0","0","0","143","0","143","100.2",,,,,,,"90.1",,"90.1","90.1"
"Sánchez, Jesús","660821","NA","9","Right Fielder","327","0","0","0","0","13","0","314","0","327","95.6",,,,,,,"88.3",,"88.4","88.4"
"Nootbaar, Lars","663457","NA","9","Right Fielder","314","0","0","0","0","85","54","175","0","314","98.6",,,,,"87.4","86.2","88.9",,"88.2","88.2"
"Cabbage, Trey","663550","NA","9","Right Fielder","54","0","0","0","0","12","0","42","0","54","94.1",,,,,,,,,"91.4","91.4"
"Tucker, Kyle","663656","NA","9","Right Fielder","197","0","0","0","0","0","0","197","0","197","90.1",,,,,,,"85.3",,"85.3","85.3"
"Conine, Griffin","665052","NA","9","Right Fielder","68","0","0","0","0","21","0","47","0","68","97.4",,,,,,,,,"93.1","93.1"
"Tatis Jr., Fernando","665487","NA","9","Right Fielder","237","0","0","0","0","0","0","237","0","237","100.7",,,,,,,"95.8",,"95.8","95.8"
"Soto, Juan","665742","NA","9","Right Fielder","400","0","0","0","0","24","0","376","0","400","89.5",,,,,,,"84.5",,"84.7","84.7"
"Lowe, Josh","666139","NA","9","Right Fielder","271","0","0","0","0","35","3","233","0","271","91.2",,,,,,,"86.8",,"86.7","86.7"
"Fletcher, Dominic","666150","NA","9","Right Fielder","214","0","0","0","0","0","90","124","0","214","96",,,,,,"87.4","89.9",,"89","89"
"Adell, Jo","666176","NA","9","Right Fielder","315","0","0","0","0","0","10","305","0","315","93",,,,,,,"86.8",,"86.7","86.7"
"Benson, Will","666181","NA","9","Right Fielder","272","0","0","0","0","106","90","76","0","272","91.7",,,,,"85.7","86.2","85.1",,"85.7","85.7"
"García, Adolis","666969","NA","9","Right Fielder","357","0","0","0","0","0","0","357","0","357","97",,,,,,,"89.9",,"89.9","89.9"
"Myers, Dane","667472","NA","9","Right Fielder","89","0","0","0","0","7","16","66","0","89","98.7",,,,,,,"95.4",,"94.3","94.3"
"Johnson, Bryce","669369","NA","9","Right Fielder","59","0","0","0","0","2","2","55","0","59","84.4",,,,,,,"82.6",,"82.6","82.6"
"Call, Alex","669743","NA","9","Right Fielder","109","0","0","0","0","3","10","96","0","109","89.2",,,,,,,"87.7",,"87.5","87.5"
"Wallner, Matt","670242","NA","9","Right Fielder","146","0","0","0","0","59","0","87","0","146","101.2",,,,,"95.4",,"97.5",,"96.9","96.9"
"Butler, Lawrence","671732","NA","9","Right Fielder","330","0","0","0","0","0","1","329","0","330","93.7",,,,,,,"86.6",,"86.6","86.6"
"Pérez, Wenceel","672761","NA","9","Right Fielder","264","0","0","0","0","2","48","214","0","264","92.2",,,,,,,"85.9",,"85.5","85.5"
"Suzuki, Seiya","673548","NA","9","Right Fielder","219","0","0","0","0","2","0","217","0","219","95.4",,,,,,,"89.4",,"89.4","89.4"
"DeLuca, Jonny","676356","NA","9","Right Fielder","280","0","0","0","0","22","114","144","0","280","99.3",,,,,,"89.6","90.9",,"90.2","90.2"
"Abreu, Wilyer","677800","NA","9","Right Fielder","331","0","0","0","0","16","1","314","0","331","100.7",,,,,,,"95",,"94.8","94.8"
"Noel, Jhonkensy","678877","NA","9","Right Fielder","130","25","0","0","0","0","0","105","0","105","91.2",,,,,,,"88.3",,"88.3","88.3"
"Carroll, Corbin","682998","NA","9","Right Fielder","502","0","0","0","0","0","266","236","0","502","88.6",,,,,,"81.7","83.1",,"82.6","82.6"
"Frelick, Sal","686217","NA","9","Right Fielder","398","0","0","3","0","46","66","283","3","395","93.4",,,,,,"83.2","88.2",,"87.2","87.2"
"Canzone, Dominic","686527","NA","9","Right Fielder","132","0","0","0","0","47","0","85","0","132","95.3",,,,,,,"89.7",,"90.2","90.2"
"Crews, Dylan","686611","NA","9","Right Fielder","91","0","0","0","0","0","12","79","0","91","96.5",,,,,,,"90.6",,"89.6","89.6"
"Brennan, Will","686823","NA","9","Right Fielder","212","0","0","0","0","31","17","164","0","212","94",,,,,,,"88.3",,"87.5","87.5"
"Walker, Jordan","691023","NA","9","Right Fielder","102","0","0","0","0","0","0","102","0","102","98.6",,,,,,,"94.2",,"94.2","94.2"
"Blackmon, Charlie","453568","NA","10","Designated Hitter","65","0","0","0","0","0","0","65","0","65","89.3",,,,,,,"87.6",,"87.6","87.6"
"Grossman, Robbie","543257","NA","10","Designated Hitter","74","0","0","0","0","30","0","44","0","74","88.7",,,,,,,,,"84.5","84.5"
"Soler, Jorge","624585","NA","10","Designated Hitter","102","0","0","0","0","5","0","97","0","102","89.3",,,,,,,"85.6",,"85.3","85.3"
"O'Hearn, Ryan","656811","NA","10","Designated Hitter","229","174","0","0","0","17","0","38","0","55","85.3","72.6",,,,,,,,"79.3","79.3"
"Alvarez, Yordan","670541","NA","10","Designated Hitter","139","0","0","0","0","139","0","0","0","139","87.5",,,,,"82.5",,,,"82.5","82.5"
"Velázquez, Nelson","676369","NA","10","Designated Hitter","56","0","0","0","0","29","0","27","0","56","95.4",,,,,,,,,"90","90"
"Burleson, Alec","676475","NA","10","Designated Hitter","234","57","0","0","0","86","0","91","0","177","93.7",,,,,"88.2",,"86",,"87.5","87.5"
"Carpenter, Kerry","681481","NA","10","Designated Hitter","113","0","0","0","0","5","0","108","0","113","95",,,,,,,"89.2",,"88.8","88.8"